chr9	133700000	134700000	chr13	108100000	109100000
chr5	49400000	49600000	chr6	37800000	38000000
chr5	49400000	49600000	chr6	37700000	37900000
chr5	50300000	50500000	chr6	37800000	38000000
chr9	134100000	134300000	chr13	81400000	81600000
chr9	134100000	134300000	chr13	90400000	90600000
chr9	134100000	134300000	chr13	94000000	94200000
chr3	47800000	48800000	chr10	87400000	88400000
chr13	81400000	81600000	chr22	16800000	17000000
chr13	81400000	81600000	chr22	23600000	23800000
chr13	90400000	90600000	chr22	16800000	17000000
chr13	90400000	90600000	chr22	23600000	23800000
chr13	94000000	94200000	chr22	16800000	17000000
chr13	94000000	94200000	chr22	23600000	23800000
chr13	108500000	108700000	chr22	23600000	23800000
chr6	37700000	38700000	chr16	77800000	78800000
chr6	16700000	16900000	chr16	85600000	85800000
chr12	22300000	23300000	chr21	25100000	26100000
chr9	133200000	134200000	chr22	23200000	24200000
chr9	133600000	134600000	chr22	16400000	17400000
chr3	137900000	138900000	chr18	23100000	24100000
chr3	138300000	138500000	chr18	24800000	25000000
chr3	138300000	138500000	chr18	24500000	24700000
chr1	54800000	55800000	chr18	23000000	24000000
chr1	106900000	107900000	chr18	24600000	25600000
chr1	55200000	55400000	chr18	22000000	22200000
chr1	142500000	142700000	chr18	39500000	39700000
chr2	149300000	149500000	chr22	22800000	23000000
chr2	149300000	149500000	chr22	23600000	23800000
chr2	149300000	149500000	chr22	17200000	17400000
chr3	76100000	76300000	chr13	90400000	90600000
chr6	135700000	135900000	chr18	24500000	24700000
chr13	81400000	81600000	chr21	9600000	9800000
chr4	48800000	49800000	chr9	20300000	21300000
chr2	89200000	89400000	chr9	133600000	133800000
